"filename", "language", "JavaScript", "XML", "CSS", "JSON", "HTML", "comment", "blank", "total"
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-session-spaces-listener.js", "JavaScript", 35, 0, 0, 0, 0, 0, 9, 44
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-wallet-balance-listener.js", "JavaScript", 25, 0, 0, 0, 0, 0, 8, 33
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/index.css", "CSS", 0, 0, 12, 0, 0, 0, 2, 14
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/main.jsx", "JavaScript", 25, 0, 0, 0, 0, 0, 3, 28
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account-button-links.component.jsx", "JavaScript", 49, 0, 0, 0, 0, 0, 13, 62
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account-hooks/use-check-for-and-clear-form-details.js", "JavaScript", 44, 0, 0, 0, 0, 0, 8, 52
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account-hooks/use-navigate-to-route.js", "JavaScript", 34, 0, 0, 0, 0, 0, 10, 44
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account-stripe-logo.component.jsx", "JavaScript", 22, 0, 0, 0, 0, 0, 7, 29
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account.component.jsx", "JavaScript", 21, 0, 0, 0, 0, 0, 7, 28
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/intro.component.jsx", "JavaScript", 16, 0, 0, 0, 0, 0, 7, 23
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-button.component.jsx", "JavaScript", 18, 0, 0, 0, 0, 0, 5, 23
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-clear-card-input-on-zero-wallet-funds.js", "JavaScript", 31, 0, 0, 0, 0, 0, 7, 38
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-get-payment-result.js", "JavaScript", 86, 0, 0, 0, 0, 0, 15, 101
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-handle-card-input-change.js", "JavaScript", 35, 0, 0, 0, 0, 0, 6, 41
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-handle-wallet-funds-change.js", "JavaScript", 19, 0, 0, 0, 0, 0, 8, 27
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds-hooks/use-should-show-add-funds-button.component.js", "JavaScript", 19, 0, 0, 0, 0, 0, 7, 26
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/add-funds.component.jsx", "JavaScript", 25, 0, 0, 0, 0, 0, 8, 33
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/card-input-styles/card-input-styles.js", "JavaScript", 20, 0, 0, 0, 0, 0, 1, 21
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/card-input.component.jsx", "JavaScript", 35, 0, 0, 0, 0, 0, 10, 45
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/choose-wallet-funds-to-add.component.jsx", "JavaScript", 27, 0, 0, 0, 0, 0, 9, 36
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/errors-help-redirect/add-funds-error.component.jsx", "JavaScript", 40, 0, 0, 0, 0, 0, 7, 47
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/errors-help-redirect/add-funds-help.component.jsx", "JavaScript", 56, 0, 0, 0, 0, 0, 7, 63
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/errors-help-redirect/card-input-errors.component.jsx", "JavaScript", 24, 0, 0, 0, 0, 0, 8, 32
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-funds/errors-help-redirect/redirect-and-loader.component.jsx", "JavaScript", 21, 0, 0, 0, 0, 0, 7, 28
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session-hooks/return-logic-and-reset-state/use-reset-state-and-navigate.js", "JavaScript", 19, 0, 0, 0, 0, 0, 6, 25
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session-hooks/return-logic-and-reset-state/use-return-logic.js", "JavaScript", 37, 0, 0, 0, 0, 0, 9, 46
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session-hooks/swals/use-get-book-session-result-swal.js", "JavaScript", 46, 0, 0, 0, 0, 0, 9, 55
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session-hooks/swals/use-success-swal.js", "JavaScript", 27, 0, 0, 0, 0, 0, 6, 33
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session-hooks/swals/use-update-balance-error-reset-session-doc-swal.js", "JavaScript", 60, 0, 0, 0, 0, 0, 10, 70
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session-hooks/swals/use-update-session-doc-error-swal.js", "JavaScript", 30, 0, 0, 0, 0, 0, 9, 39
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session-hooks/use-check-spaces-available-and-balance.js", "JavaScript", 68, 0, 0, 0, 0, 0, 14, 82
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session-hooks/use-choose-date-handle-change.js", "JavaScript", 10, 0, 0, 0, 0, 0, 6, 16
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session-hooks/use-confirm-book-session.js", "JavaScript", 40, 0, 0, 0, 0, 0, 11, 51
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session-hooks/use-confirm-session.js", "JavaScript", 13, 0, 0, 0, 0, 0, 7, 20
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session-hooks/use-get-request-date-data-values.js", "JavaScript", 14, 0, 0, 0, 0, 0, 6, 20
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session-hooks/use-request-date-data.js", "JavaScript", 13, 0, 0, 0, 0, 0, 5, 18
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/book-a-session.component.jsx", "JavaScript", 32, 0, 0, 0, 0, 0, 12, 44
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/sections/balance-check-and-book-session-help.component.jsx", "JavaScript", 77, 0, 0, 0, 0, 0, 9, 86
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/sections/buttons/afternoon-session-long-button.component.jsx", "JavaScript", 30, 0, 0, 0, 0, 0, 9, 39
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/sections/buttons/afternoon-session-short-button.component.jsx", "JavaScript", 26, 0, 0, 0, 0, 0, 8, 34
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/sections/buttons/morning-and-afternoon-session-long-button.component.jsx", "JavaScript", 30, 0, 0, 0, 0, 0, 8, 38
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/sections/buttons/morning-and-afternoon-session-short-button.component.jsx", "JavaScript", 30, 0, 0, 0, 0, 0, 9, 39
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/sections/buttons/morning-session-button.component.jsx", "JavaScript", 26, 0, 0, 0, 0, 0, 8, 34
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/sections/choose-date.component.jsx", "JavaScript", 38, 0, 0, 0, 0, 0, 12, 50
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/sections/choose-sessions.component.jsx", "JavaScript", 44, 0, 0, 0, 0, 0, 7, 51
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/sections/date-errors.component.jsx", "JavaScript", 38, 0, 0, 0, 0, 0, 9, 47
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/sections/options-available-info.component.jsx", "JavaScript", 16, 0, 0, 0, 0, 0, 4, 20
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/sections/spaces-available-info.component.jsx", "JavaScript", 52, 0, 0, 0, 0, 0, 8, 60
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/book-a-session/sections/times-and-prices-accordion.component.jsx", "JavaScript", 79, 0, 0, 0, 0, 1, 8, 88
