"filename", "language", "HTML", "CSS", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\components\tables\table-no-entries-info.component.jsx", "JavaScript", 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\components\tables\table-search-box.component.jsx", "JavaScript", 0, 0, 49, 0, 0, 0, 10, 59
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\components\wallet-balance\wallet-balance-hooks\use-get-wallet-balance.js", "JavaScript", 0, 0, 65, 0, 0, 1, 12, 78
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\components\wallet-balance\wallet-balance.component.jsx", "JavaScript", 0, 0, 50, 0, 0, 0, 12, 62
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\functions\capitalize-string.js", "JavaScript", 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\functions\create-children-to-add-to-booking.js", "JavaScript", 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\functions\get-school-db-and-user-collection-ids.js", "JavaScript", 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\functions\get-session-type-string.js", "JavaScript", 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\functions\is-not-valid-school-code.js", "JavaScript", 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\functions\open-email-link.js", "JavaScript", 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\functions\price-multiplied-by-100.js", "JavaScript", 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\functions\set-environment-variables.js", "JavaScript", 0, 0, 72, 0, 0, 0, 3, 75
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\functions\set-project-id.js", "JavaScript", 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\functions\validate-email.js", "JavaScript", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\global-styles.js", "JavaScript", 0, 0, 53, 0, 0, 0, 8, 61
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-cancel-and-return.js", "JavaScript", 0, 0, 42, 0, 0, 0, 7, 49
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-confirm-swal.js", "JavaScript", 0, 0, 72, 0, 0, 0, 7, 79
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-fire-swal.js", "JavaScript", 0, 0, 33, 0, 0, 0, 5, 38
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-get-price-of-booking.js", "JavaScript", 0, 0, 16, 0, 0, 2, 7, 25
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-get-user-on-load.js", "JavaScript", 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-get-users-children-and-conditionally-user-bookings-and-session-prices.js", "JavaScript", 0, 0, 73, 0, 0, 0, 9, 82
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-get-window-width.js", "JavaScript", 0, 0, 22, 0, 0, 0, 8, 30
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-hamburger-handler-navigate.js", "JavaScript", 0, 0, 33, 0, 0, 0, 9, 42
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-is-mobile-device.js", "JavaScript", 0, 0, 34, 0, 0, 0, 7, 41
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-is-online.js", "JavaScript", 0, 0, 36, 0, 0, 0, 9, 45
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-is-route-with-nav-warning.js", "JavaScript", 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-reset-all-store-on-sign-out.js", "JavaScript", 0, 0, 62, 0, 0, 0, 6, 68
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-reset-password-request-result-swal.js", "JavaScript", 0, 0, 62, 0, 0, 0, 9, 71
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-reset-store.js", "JavaScript", 0, 0, 132, 0, 0, 0, 7, 139
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\hooks\use-wallet-balance-listener.js", "JavaScript", 0, 0, 28, 0, 0, 0, 9, 37
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\main.jsx", "JavaScript", 0, 0, 42, 0, 0, 0, 5, 47
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\account\account-button-links.component.jsx", "JavaScript", 0, 0, 41, 0, 0, 0, 8, 49
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\account\account-hooks\use-check-for-and-clear-form-details.js", "JavaScript", 0, 0, 44, 0, 0, 0, 8, 52
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\account\account-hooks\use-navigate-to-route.js", "JavaScript", 0, 0, 73, 0, 0, 0, 7, 80
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\account\account-stripe-logo.component.jsx", "JavaScript", 0, 0, 22, 0, 0, 0, 7, 29
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\account\account.component.jsx", "JavaScript", 0, 0, 21, 0, 0, 0, 8, 29
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\account\intro.component.jsx", "JavaScript", 0, 0, 16, 0, 0, 0, 7, 23
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-child-info\add-child-info-button.component.jsx", "JavaScript", 0, 0, 33, 0, 0, 0, 10, 43
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-child-info\add-child-info-form.component.jsx", "JavaScript", 0, 0, 78, 0, 0, 0, 16, 94
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-child-info\add-child-info-hooks\use-add-child-info-result-swal.js", "JavaScript", 0, 0, 85, 0, 0, 1, 12, 98
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-child-info\add-child-info-hooks\use-confirm-add-child-info.js", "JavaScript", 0, 0, 61, 0, 0, 1, 14, 76
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-child-info\add-child-info-hooks\use-handle-add-child-info-change.js", "JavaScript", 0, 0, 15, 0, 0, 0, 7, 22
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-child-info\add-child-info.component.jsx", "JavaScript", 0, 0, 22, 0, 0, 0, 11, 33
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\add-funds-button.component.jsx", "JavaScript", 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\add-funds-hooks\use-clear-card-input-on-zero-wallet-funds.js", "JavaScript", 0, 0, 35, 0, 0, 0, 7, 42
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\add-funds-hooks\use-get-client-secret.js", "JavaScript", 0, 0, 19, 0, 0, 0, 9, 28
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\add-funds-hooks\use-get-payment-result.js", "JavaScript", 0, 0, 89, 0, 0, 0, 15, 104
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\add-funds-hooks\use-handle-card-input-change.js", "JavaScript", 0, 0, 35, 0, 0, 0, 6, 41
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\add-funds-hooks\use-handle-wallet-funds-change.js", "JavaScript", 0, 0, 19, 0, 0, 0, 8, 27
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\add-funds-hooks\use-should-show-add-funds-button.component.js", "JavaScript", 0, 0, 19, 0, 0, 0, 7, 26
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\add-funds.component.jsx", "JavaScript", 0, 0, 29, 0, 0, 0, 9, 38
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\card-input-styles\card-input-styles.js", "JavaScript", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\card-input.component.jsx", "JavaScript", 0, 0, 37, 0, 0, 0, 9, 46
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\choose-wallet-funds-to-add.component.jsx", "JavaScript", 0, 0, 34, 0, 0, 0, 9, 43
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\errors-help-redirect\add-funds-help.component.jsx", "JavaScript", 0, 0, 56, 0, 0, 0, 7, 63
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\errors-help-redirect\card-input-errors.component.jsx", "JavaScript", 0, 0, 24, 0, 0, 0, 7, 31
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\add-funds\errors-help-redirect\redirect-and-loader.component.jsx", "JavaScript", 0, 0, 19, 0, 0, 0, 7, 26
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\emails\use-send-add-booking-info-error-email.js", "JavaScript", 0, 0, 77, 0, 0, 0, 13, 90
"c:\Users\Jonathan\Desktop\breakfast-and-after-school-club\src\routes\book-a-session\book-a-session-hooks\emails\use-send-email-booking-confirmation.js", "JavaScript", 0, 0, 71, 0, 0, 1, 15, 87
