"filename", "language", "XML", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/functions/create-session-types-and-prices-object.js", "JavaScript", 0, 30, 0, 0, 0, 0, 1, 31
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/functions/open-email-link.js", "JavaScript", 0, 7, 0, 0, 0, 0, 3, 10
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/functions/price-multiplied-by-100.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 4
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/functions/validate-email.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 5
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/global-styles.js", "JavaScript", 0, 56, 0, 0, 0, 0, 7, 63
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-cancel-and-return.js", "JavaScript", 0, 27, 0, 0, 0, 0, 7, 34
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-confirm-swal.js", "JavaScript", 0, 72, 0, 0, 0, 0, 7, 79
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-fire-swal.js", "JavaScript", 0, 33, 0, 0, 0, 0, 5, 38
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-get-user-on-load.js", "JavaScript", 0, 17, 0, 0, 0, 0, 5, 22
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-get-window-width.js", "JavaScript", 0, 22, 0, 0, 0, 0, 8, 30
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-hamburger-handler-navigate.js", "JavaScript", 0, 32, 0, 0, 0, 0, 9, 41
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-is-mobile-device.js", "JavaScript", 0, 34, 0, 0, 0, 0, 7, 41
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-is-online.js", "JavaScript", 0, 34, 0, 0, 0, 0, 9, 43
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-is-route-with-nav-warning.js", "JavaScript", 0, 19, 0, 0, 0, 0, 6, 25
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-reset-store.js", "JavaScript", 0, 103, 0, 0, 0, 0, 7, 110
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-session-prices-listener.js", "JavaScript", 0, 39, 0, 0, 0, 0, 9, 48
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/hooks/use-wallet-balance-listener.js", "JavaScript", 0, 25, 0, 0, 0, 0, 8, 33
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/index.css", "CSS", 0, 0, 12, 0, 0, 0, 2, 14
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/main.jsx", "JavaScript", 0, 25, 0, 0, 0, 0, 3, 28
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account-button-links.component.jsx", "JavaScript", 0, 37, 0, 0, 0, 0, 8, 45
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account-hooks/use-check-for-and-clear-form-details.js", "JavaScript", 0, 44, 0, 0, 0, 0, 8, 52
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account-hooks/use-navigate-to-route.js", "JavaScript", 0, 71, 0, 0, 0, 0, 7, 78
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account-stripe-logo.component.jsx", "JavaScript", 0, 22, 0, 0, 0, 0, 7, 29
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/account.component.jsx", "JavaScript", 0, 21, 0, 0, 0, 0, 8, 29
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/account/intro.component.jsx", "JavaScript", 0, 16, 0, 0, 0, 0, 7, 23
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-child-info/add-child-info-button.component.jsx", "JavaScript", 0, 33, 0, 0, 0, 0, 10, 43
"/Users/jonathanoakes/Desktop/breakfast-and-afterschool-club/src/routes/add-child-info/add-child-info-form.component.jsx", "JavaScript", 0, 78, 0, 0, 0, 0, 16, 94
